method,estimation_stage,J,h2,true_eta0,true_lambda,panel_seed,raw_eta0,selected_lambda,selected_L,eta0_finite,eta0_boundary,objective,converged,causal_correlation,achieved_h2,expected_z_1,expected_z_2,fit_seconds
collapsed-R,oracle_lambda,100,0.001,200,0.001,31,122.881632051338,0.001,1,TRUE,interior,605.264939434241,TRUE,9.67714325840016e-05,0.001,12.9987573309076,5.57192282034901,0.761999999999993
AIW-N,actual_selection,100,0.005,200,0.001,31,154.657610884659,0.001,2,TRUE,interior,545.185794751667,TRUE,9.67714325840016e-05,0.005,29.066105014933,12.4591981916827,0.436
AIW-N,oracle_lambda_oracle_L,100,0.005,200,0.001,31,154.657610884659,0.001,2,TRUE,interior,545.185794751667,TRUE,9.67714325840016e-05,0.005,29.066105014933,12.4591981916827,0.436
AIW-N,selected_lambda_oracle_L,100,0.005,200,0.001,31,154.657610884659,0.001,2,TRUE,interior,545.185794751667,TRUE,9.67714325840016e-05,0.005,29.066105014933,12.4591981916827,0.436
collapsed-R,actual_selection,100,0.005,200,0.001,31,108.573447562456,0.001,1,TRUE,interior,540.752702955487,TRUE,9.67714325840016e-05,0.005,29.066105014933,12.4591981916827,2.765
collapsed-R,oracle_lambda,100,0.005,200,0.001,31,108.573447562456,0.001,1,TRUE,interior,540.752702955487,TRUE,9.67714325840016e-05,0.005,29.066105014933,12.4591981916827,2.765
AIW-N,actual_selection,100,2e-04,500,0.001,31,97.3066453877752,0.001,4,TRUE,interior,636.849275801013,TRUE,-0.000181743586079802,2e-04,5.81325385816269,-2.49225691008344,0.231999999999999
AIW-N,oracle_lambda_oracle_L,100,2e-04,500,0.001,31,94.3463689900136,0.001,2,TRUE,interior,636.787491575755,TRUE,-0.000181743586079802,2e-04,5.81325385816269,-2.49225691008344,0.231999999999999
AIW-N,selected_lambda_oracle_L,100,2e-04,500,0.001,31,94.3463689900136,0.001,2,TRUE,interior,636.787491575755,TRUE,-0.000181743586079802,2e-04,5.81325385816269,-2.49225691008344,0.231999999999999
collapsed-R,actual_selection,100,2e-04,500,0.001,31,113.856259939673,0.001,1,TRUE,interior,635.128150252334,TRUE,-0.000181743586079802,2e-04,5.81325385816269,-2.49225691008344,3.10500000000001
collapsed-R,oracle_lambda,100,2e-04,500,0.001,31,113.856259939673,0.001,1,TRUE,interior,635.128150252334,TRUE,-0.000181743586079802,2e-04,5.81325385816269,-2.49225691008344,3.10500000000001
AIW-N,actual_selection,100,0.001,500,0.001,31,245.796558613616,0.001,4,TRUE,interior,617.517848497718,TRUE,-0.000181743586079802,0.001,12.9988307973147,-5.57285586834016,0.253
AIW-N,oracle_lambda_oracle_L,100,0.001,500,0.001,31,257.293038720153,0.001,2,TRUE,interior,617.037321378074,TRUE,-0.000181743586079802,0.001,12.9988307973147,-5.57285586834016,0.253
AIW-N,selected_lambda_oracle_L,100,0.001,500,0.001,31,257.293038720153,0.001,2,TRUE,interior,617.037321378074,TRUE,-0.000181743586079802,0.001,12.9988307973147,-5.57285586834016,0.253
collapsed-R,actual_selection,100,0.001,500,0.001,31,204.848260648895,0.001,1,TRUE,interior,615.406038821778,TRUE,-0.000181743586079802,0.001,12.9988307973147,-5.57285586834016,1.879
collapsed-R,oracle_lambda,100,0.001,500,0.001,31,204.848260648895,0.001,1,TRUE,interior,615.406038821778,TRUE,-0.000181743586079802,0.001,12.9988307973147,-5.57285586834016,1.879
AIW-N,actual_selection,100,0.005,500,0.001,31,268.982985287605,0.001,5,TRUE,interior,569.390463175416,TRUE,-0.000181743586079802,0.005,29.0662692908135,-12.4612845504172,0.274999999999999
AIW-N,oracle_lambda_oracle_L,100,0.005,500,0.001,31,268.179990917541,0.001,2,TRUE,interior,568.31296645509,TRUE,-0.000181743586079802,0.005,29.0662692908135,-12.4612845504172,0.274999999999999
AIW-N,selected_lambda_oracle_L,100,0.005,500,0.001,31,268.179990917541,0.001,2,TRUE,interior,568.31296645509,TRUE,-0.000181743586079802,0.005,29.0662692908135,-12.4612845504172,0.274999999999999
collapsed-R,actual_selection,100,0.005,500,0.001,31,192.225565431282,0.001,1,TRUE,interior,562.102334535032,TRUE,-0.000181743586079802,0.005,29.0662692908135,-12.4612845504172,2.45200000000001
collapsed-R,oracle_lambda,100,0.005,500,0.001,31,192.225565431282,0.001,1,TRUE,interior,562.102334535032,TRUE,-0.000181743586079802,0.005,29.0662692908135,-12.4612845504172,2.45200000000001
AIW-N,actual_selection,100,2e-04,1000,0.001,31,96.8677406511722,0.001,4,TRUE,interior,640.184981609881,TRUE,-8.66109680143217e-06,2e-04,5.81318693808219,-2.49140693133147,0.227000000000004
AIW-N,oracle_lambda_oracle_L,100,2e-04,1000,0.001,31,101.598792486989,0.001,2,TRUE,interior,640.049031261667,TRUE,-8.66109680143217e-06,2e-04,5.81318693808219,-2.49140693133147,0.227000000000004
AIW-N,selected_lambda_oracle_L,100,2e-04,1000,0.001,31,101.598792486989,0.001,2,TRUE,interior,640.049031261667,TRUE,-8.66109680143217e-06,2e-04,5.81318693808219,-2.49140693133147,0.227000000000004
collapsed-R,actual_selection,100,2e-04,1000,0.001,31,1e+06,0.002,0,TRUE,interior,638.538250764888,TRUE,-8.66109680143217e-06,2e-04,5.81318693808219,-2.49140693133147,0.38600000000001
collapsed-R,oracle_lambda,100,2e-04,1000,0.001,31,126.927368150446,0.001,0,TRUE,interior,638.215875694089,TRUE,-8.66109680143217e-06,2e-04,5.81318693808219,-2.49140693133147,0.38600000000001
AIW-N,actual_selection,100,0.001,1000,0.001,31,291.96195391352,0.002,5,TRUE,interior,612.569523972553,TRUE,-8.66109680143217e-06,0.001,12.9986811594656,-5.57095525807133,0.253999999999998
AIW-N,oracle_lambda_oracle_L,100,0.001,1000,0.001,31,149.322998090503,0.001,2,TRUE,interior,610.390465161278,TRUE,-8.66109680143217e-06,0.001,12.9986811594656,-5.57095525807133,0.253999999999998
AIW-N,selected_lambda_oracle_L,100,0.001,1000,0.001,31,305.766930595728,0.002,2,TRUE,interior,612.241617012558,TRUE,-8.66109680143217e-06,0.001,12.9986811594656,-5.57095525807133,0.253999999999998
collapsed-R,actual_selection,100,0.001,1000,0.001,31,270.367839351288,0.002,1,TRUE,interior,610.680907219047,TRUE,-8.66109680143217e-06,0.001,12.9986811594656,-5.57095525807133,1.033
collapsed-R,oracle_lambda,100,0.001,1000,0.001,31,134.568410868733,0.001,1,TRUE,interior,609.08010854797,TRUE,-8.66109680143217e-06,0.001,12.9986811594656,-5.57095525807133,1.033
AIW-N,actual_selection,100,0.005,1000,0.001,31,906.731864158163,0.008,5,TRUE,interior,563.179292576736,TRUE,-8.66109680143217e-06,0.005,29.0659346904109,-12.4570346566574,0.302999999999997
AIW-N,oracle_lambda_oracle_L,100,0.005,1000,0.001,31,189.41703159003,0.001,2,TRUE,interior,555.637652004397,TRUE,-8.66109680143217e-06,0.005,29.0659346904109,-12.4570346566574,0.302999999999997
AIW-N,selected_lambda_oracle_L,100,0.005,1000,0.001,31,621.41101594613,0.006,2,TRUE,interior,561.785617067015,TRUE,-8.66109680143217e-06,0.005,29.0659346904109,-12.4570346566574,0.302999999999997
collapsed-R,actual_selection,100,0.005,1000,0.001,31,630.771558741228,0.006,2,TRUE,interior,560.86231116856,TRUE,-8.66109680143217e-06,0.005,29.0659346904109,-12.4570346566574,2.574
collapsed-R,oracle_lambda,100,0.005,1000,0.001,31,144.463149986166,0.001,1,TRUE,interior,552.214981280643,TRUE,-8.66109680143217e-06,0.005,29.0659346904109,-12.4570346566574,2.574
