"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal","raw_selected_L","raw_coverage","raw_power","raw_all_causal_covered","raw_mean_causal_pip","raw_minimum_causal_pip","fallback_used","ser_credible_set_size","ser_fit_seconds"
0.001,43,3,4,100010,"joint_lambda_profiled_eta0",0.006,34.5688147572052,34.5688147572052,1,-0.218248147647027,-0.218248147647027,1.79175946922805,"interior","interior",2137.52905826741,39.5576327218605,1,1,0.5,FALSE,0.486206499649529,6.55031584528842e-15,TRUE,72,0.268000000000001,"110, 251",1,1,0.5,FALSE,0.344139126494413,0.00872627177594376,TRUE,1,0.00300000000000011
0.001,43,3,4,100010,"oracle_lambda_2x_eta0",0.001,12.4380329291489,24.8760658582978,2,-1.24044116555204,-0.547293984992095,0,"interior","interior",2096.36196781938,0,1,1,0.5,FALSE,0.486206499649529,6.55031584528842e-15,TRUE,66,0.561,"110, 251",1,1,0.5,FALSE,0.32296813635964,0.00838477492190493,TRUE,1,0.00300000000000011
0.001,43,3,4,100010,"oracle_lambda_profiled_eta0",0.001,12.4380329291489,12.4380329291489,1,-1.24044116555204,-1.24044116555204,0,"interior","interior",2097.97142554555,0,1,1,0.5,FALSE,0.486206499649529,6.55031584528842e-15,TRUE,128,0.482999999999997,"110, 251",1,1,0.5,FALSE,0.275458859213333,0.0126561926799688,TRUE,1,0.00300000000000011
0.001,43,3,5,100011,"joint_lambda_2x_eta0",0.006,39.4471597301623,78.8943194603245,2,-0.0862380676941426,0.606909112865802,1.79175946922805,"interior","interior",2162.65188077963,28.2719892950045,1,1,0.5,FALSE,0.17784445154533,1.29884991650897e-12,TRUE,41,0.312999999999995,"252, 404",1,1,0.5,FALSE,0.261906528516281,0.0740728035370609,TRUE,2,0.00399999999999956
0.001,43,3,5,100011,"joint_lambda_profiled_eta0",0.006,39.4471597301623,39.4471597301623,1,-0.0862380676941426,-0.0862380676941426,1.79175946922805,"interior","interior",2165.96140729742,29.8513191614393,1,1,0.5,FALSE,0.17784445154533,1.29884991650897e-12,TRUE,72,0.266999999999996,"252, 404",1,1,0.5,FALSE,0.236246889395706,0.00917675387586425,TRUE,2,0.00399999999999956
0.001,43,3,5,100011,"oracle_lambda_2x_eta0",0.001,14.3446913809567,28.6893827619135,2,-1.09782018054139,-0.404672999981441,0,"interior","interior",2134.37989148463,0,1,1,0.5,FALSE,0.17784445154533,1.29884991650897e-12,TRUE,67,0.419000000000004,"252, 404",1,1,0.5,FALSE,0.234669501130349,0.0088186848930979,TRUE,2,0.00399999999999956
0.001,43,3,5,100011,"oracle_lambda_profiled_eta0",0.001,14.3446913809567,14.3446913809567,1,-1.09782018054139,-1.09782018054139,0,"interior","interior",2136.11008813598,0,1,1,0.5,FALSE,0.17784445154533,1.29884991650897e-12,TRUE,93,0.344000000000001,"252, 404",1,1,0.5,FALSE,0.209749912226535,0.0156794877912066,TRUE,2,0.00399999999999956
0.001,95,3,1,100012,"joint_lambda_2x_eta0",0.004,46.523987833194,93.047975666388,2,-0.713908844640549,-0.0207616640806032,1.38629436111989,"interior","interior",2270.48890625135,21.1516572257092,1,1,0.5,FALSE,0.491210986314919,4.33585900516675e-09,TRUE,19,0.198,"311, 321",1,1,0.5,FALSE,0.628329975132784,0.332420400207507,TRUE,1,0.00300000000000011
0.001,95,3,1,100012,"joint_lambda_profiled_eta0",0.004,46.523987833194,46.523987833194,1,-0.713908844640549,-0.713908844640549,1.38629436111989,"interior","interior",2271.24646155328,19.985074654187,1,1,0.5,FALSE,0.491210986314919,4.33585900516675e-09,TRUE,48,0.176000000000002,"311, 321",1,1,0.5,FALSE,0.383029741857373,0.0333274184674237,TRUE,1,0.00300000000000011
0.001,95,3,1,100012,"oracle_lambda_2x_eta0",0.001,18.7436393436001,37.4872786872003,2,-1.62302243174533,-0.92987525118538,0,"interior","interior",2249.33724902564,0,1,1,0.5,FALSE,0.491210986314919,4.33585900516675e-09,TRUE,30,0.322999999999993,"311, 321",1,1,0.5,FALSE,0.337772214368529,0.013943662425858,TRUE,1,0.00300000000000011
0.001,95,3,1,100012,"oracle_lambda_profiled_eta0",0.001,18.7436393436001,18.7436393436001,1,-1.62302243174533,-1.62302243174533,0,"interior","interior",2251.26138689909,0,1,1,0.5,FALSE,0.491210986314919,4.33585900516675e-09,TRUE,77,0.288999999999994,"311, 321",0,0,0,FALSE,0.256985737715109,0.0149601610700687,TRUE,1,0.00300000000000011
0.001,95,3,2,100013,"joint_lambda_2x_eta0",0.006,123.85165933251,247.703318665019,2,0.265207662166025,0.958354842725971,1.79175946922805,"interior","interior",2263.69679577596,34.0807409230083,2,1,1,TRUE,0.68587557478535,0.381265476482854,TRUE,43,0.189000000000007,"215, 319",2,1,1,TRUE,0.68587557478535,0.381265476482854,FALSE,4,0.00399999999999956
0.001,95,3,2,100013,"joint_lambda_profiled_eta0",0.006,123.85165933251,123.85165933251,1,0.265207662166025,0.265207662166025,1.79175946922805,"interior","interior",2268.80494072549,35.8463694283737,1,1,0.5,FALSE,0.35362298004161,0,TRUE,39,0.140000000000001,"215, 319",1,1,0.5,FALSE,0.58601223329544,0.311917240105674,TRUE,4,0.00399999999999956
0.001,95,3,2,100013,"oracle_lambda_2x_eta0",0.001,29.9858977055474,59.9717954110948,2,-1.15314969694072,-0.460002516380779,0,"interior","interior",2229.61605485296,0,1,1,0.5,FALSE,0.35362298004161,0,TRUE,36,0.291999999999994,"215, 319",1,1,0.5,FALSE,0.154107801642982,0.0168961582804642,TRUE,4,0.00399999999999956
0.001,95,3,2,100013,"oracle_lambda_profiled_eta0",0.001,29.9858977055474,29.9858977055474,1,-1.15314969694072,-1.15314969694072,0,"interior","interior",2232.95857129712,0,1,1,0.5,FALSE,0.35362298004161,0,TRUE,69,0.250999999999998,"215, 319",1,1,0.5,FALSE,0.120046719344939,0.00853100313158217,TRUE,4,0.00399999999999956
0.001,95,3,3,100014,"joint_lambda_2x_eta0",0.004,47.1029217479484,94.2058434958968,2,-0.701541859636981,-0.0083946790770355,1.38629436111989,"interior","interior",2175.83679492274,29.6847110328144,1,1,0.5,FALSE,0.435459587443644,0,TRUE,34,0.182999999999993,"330, 497",1,1,0.5,FALSE,0.351553339727728,0.060810849870551,TRUE,2,0.00300000000000011
0.001,95,3,3,100014,"joint_lambda_profiled_eta0",0.004,47.1029217479484,47.1029217479484,1,-0.701541859636981,-0.701541859636981,1.38629436111989,"interior","interior",2179.36184031964,30.4049127856724,1,1,0.5,FALSE,0.435459587443644,0,TRUE,40,0.144999999999996,"330, 497",1,1,0.5,FALSE,0.303857047290917,0.00973687012335256,TRUE,2,0.00300000000000011
0.001,95,3,3,100014,"oracle_lambda_2x_eta0",0.001,22.1968163996369,44.3936327992738,2,-1.45392801842761,-0.760780837867664,0,"interior","interior",2146.15208388992,0,1,1,0.5,FALSE,0.435459587443644,0,TRUE,42,0.350999999999999,"330, 497",1,1,0.5,FALSE,0.301442517187533,0.00916585402528458,TRUE,2,0.00300000000000011
0.001,95,3,3,100014,"oracle_lambda_profiled_eta0",0.001,22.1968163996369,22.1968163996369,1,-1.45392801842761,-1.45392801842761,0,"interior","interior",2148.95692753397,0,1,1,0.5,FALSE,0.435459587443644,0,TRUE,83,0.302999999999997,"330, 497",1,1,0.5,FALSE,0.270859209389877,0.00806058055011927,TRUE,2,0.00300000000000011
0.001,95,3,4,100015,"joint_lambda_2x_eta0",0.002,35.6484566153849,71.2969132307698,2,-0.980171038373467,-0.287023857813522,0.693147180559945,"interior","interior",2247.96643725757,9.28502689717106,1,1,0.5,FALSE,0.236320696408766,0,TRUE,76,0.224000000000004,"265, 292",1,1,0.5,FALSE,0.413737178757885,0.369199276572519,TRUE,3,0.00300000000000011
0.001,95,3,4,100015,"joint_lambda_profiled_eta0",0.002,35.6484566153849,35.6484566153849,1,-0.980171038373467,-0.980171038373467,0.693147180559945,"interior","interior",2247.3870223208,7.67082694729788,1,1,0.5,FALSE,0.236320696408766,0,TRUE,37,0.138000000000005,"265, 292",1,1,0.5,FALSE,0.191987196168152,0.0123922556410175,TRUE,3,0.00300000000000011
0.001,95,3,4,100015,"oracle_lambda_2x_eta0",0.001,25.7035797425092,51.4071594850184,2,-1.30724661980746,-0.614099439247518,0,"interior","interior",2238.6814103604,0,1,1,0.5,FALSE,0.236320696408766,0,TRUE,111,0.367999999999995,"265, 292",1,1,0.5,FALSE,0.386386563716411,0.363301544127615,TRUE,3,0.00300000000000011
0.001,95,3,4,100015,"oracle_lambda_profiled_eta0",0.001,25.7035797425092,25.7035797425092,1,-1.30724661980746,-1.30724661980746,0,"interior","interior",2239.7161953735,0,1,1,0.5,FALSE,0.236320696408766,0,TRUE,65,0.244,"265, 292",1,1,0.5,FALSE,0.186345805038946,0.00896347606938375,TRUE,3,0.00300000000000011
0.001,95,3,5,100016,"joint_lambda_2x_eta0",0.004,74.7077074954206,149.415414990841,2,-0.240293625461489,0.452853555098456,1.38629436111989,"interior","interior",2248.21796308593,17.1963002483485,2,1,1,TRUE,0.661435485860939,0.46032022926685,TRUE,90,0.546000000000006,"71, 260",2,1,1,TRUE,0.661435485860939,0.46032022926685,FALSE,1,0.00400000000000045
0.001,95,3,5,100016,"joint_lambda_profiled_eta0",0.004,74.7077074954206,74.7077074954206,1,-0.240293625461489,-0.240293625461489,1.38629436111989,"interior","interior",2252.53574036374,18.9659119601974,1,1,0.5,FALSE,0.496883249484509,0,TRUE,91,0.442000000000007,"71, 260",1,1,0.5,FALSE,0.555136038362052,0.325681466827976,TRUE,1,0.00400000000000045
0.001,95,3,5,100016,"oracle_lambda_2x_eta0",0.001,25.3656552413556,50.7313104827113,2,-1.32048078841581,-0.627333607855866,0,"interior","interior",2231.02166283758,0,1,1,0.5,FALSE,0.496883249484509,0,TRUE,49,0.277000000000001,"71, 260",1,1,0.5,FALSE,0.41415449469337,0.0450072421710902,TRUE,1,0.00400000000000045
0.001,95,3,5,100016,"oracle_lambda_profiled_eta0",0.001,25.3656552413556,25.3656552413556,1,-1.32048078841581,-1.32048078841581,0,"interior","interior",2233.56982840354,0,1,1,0.5,FALSE,0.496883249484509,0,TRUE,60,0.222999999999999,"71, 260",1,1,0.5,FALSE,0.346360394108331,0.00879522855841441,TRUE,1,0.00400000000000045
0.001,206,3,1,100017,"joint_lambda_2x_eta0",0.006,341.404952364327,682.809904728654,2,0.5051931475122,1.19834032807215,1.79175946922805,"interior","interior",2396.42302109639,55.8895149660198,2,1,1,TRUE,0.7902947084206,0.580589422810916,TRUE,54,0.338000000000008,"72, 351",2,1,1,TRUE,0.7902947084206,0.580589422810916,FALSE,1,0.00400000000000045
0.001,206,3,1,100017,"joint_lambda_profiled_eta0",0.006,341.404952364327,341.404952364327,1,0.5051931475122,0.5051931475122,1.79175946922805,"interior","interior",2400.00232468907,54.7276782504982,2,1,1,TRUE,0.781352448772422,0.562705047030714,TRUE,78,0.277000000000001,"72, 351",2,1,1,TRUE,0.781352448772422,0.562705047030714,FALSE,1,0.00400000000000045
0.001,206,3,1,100017,"oracle_lambda_2x_eta0",0.001,59.3315202605564,118.663040521113,2,-1.24473546503885,-0.5515882844789,0,"interior","interior",2340.53350613037,0,1,1,0.5,FALSE,0.499999999864268,0,TRUE,23,0.27500000000002,"72, 351",1,1,0.5,FALSE,0.516872916116153,0.0337848101612277,TRUE,1,0.00400000000000045
