"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,43,3,1,100007,"corrected_2x_eta0",0.004,17.1663213464378,34.3326426928757,2,-0.91825071263579,-0.225103532075845,1.38629436111989,"interior",2054.54772517167,-0.288034335150769,1,1,0.5,FALSE,0.509753286342936,0.0326420673332619,TRUE,87,0.381,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",0.006,20.8969885618454,41.7939771236907,2,-0.721595055054446,-0.0284478744945007,1.79175946922805,"interior",2049.20233369137,-5.63342581545885,1,1,0.5,FALSE,0.522160944103226,0.0484102565673105,TRUE,53,0.295000000000002,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",0.008,23.998249864427,47.9964997288539,2,-0.583219210320121,0.109927970239824,2.07944154167984,"interior",2042.86385374337,-11.9719057634579,1,1,0.5,FALSE,0.538087980028698,0.0775042823262867,TRUE,43,0.243000000000002,"97, 283"
0.001,43,3,1,100007,"corrected_2x_eta0",0.01,26.7431633987051,53.4863267974102,2,-0.4749212488963,0.218225931663645,2.30258509299405,"interior",2036.41188917116,-18.4238703356702,1,1,0.5,FALSE,0.558239585787345,0.116896414057652,TRUE,38,0.204000000000001,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",1e-05,2,2,1,-3.06805293513362,-3.06805293513362,-4.60517018598809,"lower",1632.73098727769,-423.786893807356,0,0,0,FALSE,0.0278881145716632,0.0278376432847524,TRUE,151,0.639000000000003,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",1e-04,2,2,1,-3.06805293513362,-3.06805293513362,-2.30258509299405,"lower",1938.20158403707,-118.316297047973,0,0,0,FALSE,0.0281760078583973,0.02813592456866,TRUE,140,0.769999999999996,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.001,2,2,1,-3.06805293513362,-3.06805293513362,0,"lower",2045.921636372,-10.5962447130391,0,0,0,FALSE,0.0283603209786523,0.0283282918624034,TRUE,141,0.567999999999998,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.002,11.9444901358438,11.9444901358438,1,-1.28093002014292,-1.28093002014292,0.693147180559945,"interior",2056.26127878276,-0.256602302278225,0,0,0,FALSE,0.477167589759333,0.160388508730216,TRUE,109,0.402999999999999,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.004,17.1663213464378,17.1663213464378,1,-0.91825071263579,-0.91825071263579,1.38629436111989,"interior",2056.51788108504,0,0,0,0,FALSE,0.498312199178694,0.0942624029715263,TRUE,75,0.277999999999999,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.006,20.8969885618454,20.8969885618454,1,-0.721595055054446,-0.721595055054446,1.79175946922805,"interior",2051.27861635092,-5.23926473411893,0,0,0,FALSE,0.501947271269442,0.0664732907269993,TRUE,62,0.234999999999999,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.008,23.998249864427,23.998249864427,1,-0.583219210320121,-0.583219210320121,2.07944154167984,"interior",2044.89267320066,-11.6252078843813,1,1,0.5,FALSE,0.503387513886433,0.0514748102789483,TRUE,51,0.194000000000003,"97, 283"
0.001,43,3,1,100007,"profiled_eta0",0.01,26.7431633987051,26.7431633987051,1,-0.4749212488963,-0.4749212488963,2.30258509299405,"interior",2038.32363064036,-18.1942504446847,1,1,0.5,FALSE,0.504336270527158,0.0424031692623212,TRUE,43,0.159999999999997,"97, 283"
0.001,43,3,2,100008,"corrected_2x_eta0",1e-05,2,4,2,-3.06805293513362,-2.37490575457367,-4.60517018598809,"lower",1596.00260369688,-521.536011703166,0,0,0,FALSE,0.0625022664625952,0.00797882361807611,TRUE,202,0.710000000000001,"53, 496"
0.001,43,3,2,100008,"corrected_2x_eta0",1e-04,2,4,2,-3.06805293513362,-2.37490575457367,-2.30258509299405,"lower",1944.7753365013,-172.763278898749,0,0,0,FALSE,0.0614054979348972,0.0079790603960106,TRUE,191,0.758000000000003,"53, 496"
0.001,43,3,2,100008,"corrected_2x_eta0",0.001,16.2053786576542,32.4107573153084,2,-0.975856912655726,-0.282709732095781,0,"interior",2092.53082799747,-25.0077874025824,1,1,0.5,FALSE,0.252600339467522,0.00829935750224375,TRUE,52,0.401999999999994,"53, 496"
0.001,43,3,2,100008,"corrected_2x_eta0",0.002,23.1432507240028,46.2865014480057,2,-0.619496923068386,0.073650257491559,0.693147180559945,"interior",2110.47837854945,-7.06023685060154,1,1,0.5,FALSE,0.254889772154227,0.0133771842990926,TRUE,96,0.482999999999997,"53, 496"
