"true_lambda","true_eta0","r0_seed","replicate","seed","candidate_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,20,3,5,100006,1e-05,2,-2.30258509299405,-4.60517018598809,"lower",1200.66887425303,-670.908632502591,0,0,0,FALSE,0.0198331670584568,0.0161769577443799,TRUE,137,0.486000000000001,"189, 233"
0.001,20,3,5,100006,1e-04,2,-2.30258509299405,-2.30258509299405,"lower",1594.3634562497,-277.214050505926,0,0,0,FALSE,0.019831599986909,0.0161727655084878,TRUE,119,0.420000000000002,"189, 233"
0.001,20,3,5,100006,0.001,2,-2.30258509299405,0,"lower",1804.92517056583,-66.6523361897905,0,0,0,FALSE,0.0198400169379985,0.0161720138915854,TRUE,112,0.395,"189, 233"
0.001,20,3,5,100006,0.003,2.02390957037911,-2.29070120179334,1.09861228866811,"interior",1850.71442586715,-20.863080888478,0,0,0,FALSE,0.0201088561485135,0.0162040690929985,TRUE,112,0.387,"189, 233"
0.001,20,3,5,100006,0.005,12.9896372348742,-0.43158036975303,1.6094379124341,"interior",1863.94834596545,-7.62916079017555,1,1,0.5,FALSE,0.142396627488664,0.0079500677069424,TRUE,133,0.443999999999999,"189, 233"
0.001,20,3,5,100006,0.008,16.9747005150738,-0.164008242970388,2.07944154167984,"interior",1870.3337122034,-1.24379455222061,1,1,0.5,FALSE,0.152936412423671,0.00794059928530544,TRUE,100,0.335000000000001,"189, 233"
0.001,20,3,5,100006,0.01,19.2937780860799,-0.0359496085780107,2.30258509299405,"interior",1871.57750675562,0,1,1,0.5,FALSE,0.158862325491274,0.00793704994476241,TRUE,90,0.300999999999998,"189, 233"
0.001,20,3,5,100006,0.015,24.408415101245,0.199195680485879,2.70805020110221,"interior",1870.68131800804,-0.896188747585711,1,1,0.5,FALSE,0.171607376917956,0.00792961110844015,TRUE,74,0.245000000000001,"189, 233"
0.001,20,3,5,100006,0.02,28.9319615676688,0.369214647064569,2.99573227355399,"interior",1867.39027278943,-4.18723396619453,1,1,0.5,FALSE,0.182416627127689,0.00792304284872658,TRUE,63,0.210000000000001,"189, 233"
0.001,20,3,5,100006,0.025,33.1756373495892,0.506083518223193,3.2188758248682,"interior",1863.20357337677,-8.3739333788526,1,1,0.5,FALSE,0.192484048367566,0.00791733556033203,TRUE,60,0.201,"189, 233"
0.001,20,3,5,100006,0.03,40.7161460054205,0.710892447976734,3.40119738166216,"interior",1858.76603809587,-12.8114686597578,1,1,0.5,FALSE,0.209715062276586,0.00774852244644231,TRUE,115,0.375999999999998,"189, 233"
0.001,43,3,1,100007,1e-05,2,-3.06805293513362,-4.60517018598809,"lower",1632.73098727769,-425.020109157104,0,0,0,FALSE,0.0278881145716632,0.0278376432847524,TRUE,151,0.533000000000001,"97, 283"
0.001,43,3,1,100007,1e-04,2,-3.06805293513362,-2.30258509299405,"lower",1938.20158403707,-119.549512397721,0,0,0,FALSE,0.0281760078583973,0.02813592456866,TRUE,140,0.562999999999999,"97, 283"
0.001,43,3,1,100007,0.001,2,-3.06805293513362,0,"lower",2045.921636372,-11.8294600627869,0,0,0,FALSE,0.0283603209786523,0.0283282918624034,TRUE,141,0.499000000000002,"97, 283"
0.001,43,3,1,100007,0.003,14.8644095189646,-1.06223038294101,1.09861228866811,"interior",2057.75109643479,0,0,0,0,FALSE,0.493153610139998,0.118920351497014,TRUE,84,0.283000000000001,"97, 283"
0.001,43,3,1,100007,0.005,19.1386792527993,-0.809488736605616,1.6094379124341,"interior",2054.16099368057,-3.5901027542227,0,0,0,FALSE,0.500650699628764,0.0780004906486674,TRUE,68,0.231999999999999,"97, 283"
0.001,43,3,1,100007,0.008,23.998249864427,-0.583219210320121,2.07944154167984,"interior",2044.89267320066,-12.8584232341291,1,1,0.5,FALSE,0.503387513886433,0.0514748102789483,TRUE,51,0.170999999999999,"97, 283"
0.001,43,3,1,100007,0.01,26.7431633987051,-0.4749212488963,2.30258509299405,"interior",2038.32363064036,-19.4274657944325,1,1,0.5,FALSE,0.504336270527158,0.0424031692623212,TRUE,43,0.147000000000002,"97, 283"
0.001,43,3,1,100007,0.015,33.6720839468501,-0.244530991152549,2.70805020110221,"interior",2022.64877521679,-35.102321217996,1,1,0.5,FALSE,0.508885682136909,0.0323809075047061,TRUE,78,0.266000000000002,"97, 283"
0.001,43,3,1,100007,0.02,42.8314427484194,-0.00392763916971139,2.99573227355399,"interior",2008.614515199,-49.1365812357919,1,1,0.5,FALSE,0.524462524767772,0.0524637802862372,TRUE,66,0.226000000000003,"97, 283"
0.001,43,3,1,100007,0.025,53.4633310322822,0.217795901947815,3.2188758248682,"interior",1996.10513534781,-61.645961086979,1,1,0.5,FALSE,0.556369443389965,0.113211962479313,TRUE,57,0.196999999999999,"97, 283"
0.001,43,3,1,100007,0.03,81.0480119685869,0.633841603730625,3.40119738166216,"interior",1987.21832599645,-70.5327704383367,1,1,0.5,FALSE,0.966986947556828,0.933977526744577,TRUE,60,0.205000000000002,"97, 283"
0.001,43,3,2,100008,1e-05,2,-3.06805293513362,-4.60517018598809,"lower",1598.27443115884,-520.55876190229,0,0,0,FALSE,0.0225152940614018,0.0082227485277564,TRUE,117,0.418000000000003,"53, 496"
0.001,43,3,2,100008,1e-04,2,-3.06805293513362,-2.30258509299405,"lower",1945.33274578103,-173.500447280102,0,0,0,FALSE,0.0224999863298566,0.00822243987060922,TRUE,106,0.375999999999998,"53, 496"
0.001,43,3,2,100008,0.001,16.2053786576542,-0.975856912655726,0,"interior",2094.71386225075,-24.1193308103784,1,1,0.5,FALSE,0.240363576600386,0.00802839856949011,TRUE,94,0.316000000000003,"53, 496"
0.001,43,3,2,100008,0.003,28.3803827268507,-0.415501958258,1.09861228866811,"interior",2118.5069368542,-0.326256206933067,1,1,0.5,FALSE,0.251692069055043,0.00822871226961175,TRUE,62,0.207999999999998,"53, 496"
0.001,43,3,2,100008,0.005,36.766751774694,-0.156606163290009,1.6094379124341,"interior",2118.83319306113,0,1,1,0.5,FALSE,0.253170708193491,0.00865345933845652,TRUE,45,0.150000000000006,"53, 496"
0.001,43,3,2,100008,0.008,61.2403037038072,0.353605414322801,2.07944154167984,"interior",2113.11076110497,-5.72243195615647,1,1,0.5,FALSE,0.250494336976706,0.00795177222965526,TRUE,141,0.463999999999999,"53, 496"
