J,panel_seed,true_eta0,true_L,true_lambda,h2,N,N0,causal,maximum_abs_causal_ld,minimum_expected_abs_z,maximum_expected_abs_z,achieved_h2,method,raw_eta0,selected_lambda,selected_model_L,raw_pure_L,eta0_boundary,converged,fit_seconds,finite_eta0,log_ratio,log_J_centered,calibration_group
250,51,200,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,226.58812439045,0.004,5,1,interior,TRUE,0.553999999999999,TRUE,-0.124816572863398,-0.693147180559945,250:51
250,51,200,2,0.001,0.001,200000,2000,62;140,0.00283132526963927,8.24150290668917,11.5157915126907,0.001,AIW-N,163.341620162105,0.004,2,2,interior,TRUE,0.669000000000001,TRUE,0.202473529712128,-0.693147180559945,250:51
250,51,200,3,0.001,0.001,200000,2000,62;140;197,0.00659001187976033,4.72493283694819,10.8848553819177,0.001,AIW-N,109.860596598069,0.002,2,2,interior,TRUE,0.661000000000001,TRUE,0.599105108117914,-0.693147180559945,250:51
250,51,500,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,1405.14029348834,0.004,5,1,interior,TRUE,0.466000000000001,TRUE,-1.03328433137729,-0.693147180559945,250:51
250,51,500,2,0.001,0.001,200000,2000,62;151,0.00102574172489966,8.22776281253023,11.5107775783743,0.001,AIW-N,1731.49716902823,0.004,5,2,interior,TRUE,0.461000000000002,TRUE,-1.2421336304367,-0.693147180559945,250:51
250,51,500,3,0.001,0.001,200000,2000,62;151;106,0.0314388598396202,4.28191780287301,10.9019466789471,0.001,AIW-N,992.539829916372,0.004,5,3,interior,TRUE,0.585000000000001,TRUE,-0.685659044232039,-0.693147180559945,250:51
250,51,1000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,1140.30196931561,0.002,3,1,interior,TRUE,0.431000000000001,TRUE,-0.13129311269504,-0.693147180559945,250:51
250,51,1000,2,0.001,0.001,200000,2000,62;110,0.00534109583678461,8.26057279997291,11.5227605948554,0.001,AIW-N,2059.36714989707,0.004,4,2,interior,TRUE,0.509,TRUE,-0.722398726815373,-0.693147180559945,250:51
250,51,1000,3,0.001,0.001,200000,2000,62;110;223,0.0209442499730921,4.31862882006392,10.8889696339244,0.001,AIW-N,511.523631407945,0.002,5,3,interior,TRUE,0.541,TRUE,0.670361494446617,-0.693147180559945,250:51
250,51,2000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,1377.81211438738,0.001,5,1,interior,TRUE,0.471,TRUE,0.372650363862939,-0.693147180559945,250:51
250,51,2000,2,0.001,0.001,200000,2000,62;194,0.000651544365894871,8.21498338198111,11.5061197551348,0.001,AIW-N,2857.37130325705,0.001,5,2,interior,TRUE,0.5,TRUE,-0.356754896882379,-0.693147180559945,250:51
250,51,2000,3,0.001,0.001,200000,2000,62;194;119,0.0472545017647041,4.86615540512486,10.748755248931,0.001,AIW-N,3392.65414188523,0.001,3,3,interior,TRUE,0.470999999999997,TRUE,-0.528465367209988,-0.693147180559945,250:51
250,51,5000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,2531.35912840979,0.001,5,1,interior,TRUE,0.478000000000002,TRUE,0.680681549032515,-0.693147180559945,250:51
250,51,5000,2,0.001,0.001,200000,2000,62;100,0.000183324151525151,8.21855232387332,11.5074200175064,0.001,AIW-N,1802.29134531017,0.001,5,2,interior,TRUE,0.511000000000003,TRUE,1.0203790874541,-0.693147180559945,250:51
250,51,5000,3,0.001,0.001,200000,2000,62;100;225,0.0169941194521122,4.43705797664221,10.8486167595349,0.001,AIW-N,1304.45287849519,0.001,4,2,interior,TRUE,0.521000000000001,TRUE,1.34365420976464,-0.693147180559945,250:51
250,52,20,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,16.6003851083231,0.008,1,1,interior,TRUE,0.651,TRUE,0.186306379164021,-0.693147180559945,250:52
250,52,20,2,0.001,0.001,200000,2000,62;23,0.00210485147880412,8.20389824445104,11.5020838042262,0.001,AIW-N,8.17439189085529,0.006,1,1,interior,TRUE,0.585999999999999,TRUE,0.894725945977202,-0.693147180559945,250:52
250,52,20,3,0.001,0.001,200000,2000,62;23;94,0.0350017358628738,4.461644755653,10.7521949686,0.001,AIW-N,7.80038418596772,0.004,1,1,interior,TRUE,0.635,TRUE,0.941559286460167,-0.693147180559945,250:52
250,52,50,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,26.5660842077245,0.002,1,1,interior,TRUE,0.57,TRUE,0.632387632967362,-0.693147180559945,250:52
250,52,50,2,0.001,0.001,200000,2000,62;34,0.00215723367084923,8.23637525767168,11.5139196455719,0.001,AIW-N,21.351022245349,0.002,1,1,interior,TRUE,0.619999999999999,TRUE,0.850923386555524,-0.693147180559945,250:52
250,52,50,3,0.001,0.001,200000,2000,62;34;207,0.00535824545713129,4.67306000815406,10.89210026596,0.001,AIW-N,18.0789151842438,0.002,1,1,interior,TRUE,0.638,TRUE,1.01727665313571,-0.693147180559945,250:52
250,52,100,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,40.7325742789092,0.002,1,1,interior,TRUE,0.593,TRUE,0.898142062816332,-0.693147180559945,250:52
250,52,100,2,0.001,0.001,200000,2000,62;221,0.0019688845483426,8.2049358180235,11.5024613998058,0.001,AIW-N,33.6494116119084,0.002,1,1,interior,TRUE,0.785,TRUE,1.08917461558044,-0.693147180559945,250:52
250,52,100,3,0.001,0.001,200000,2000,62;221;196,0.0171097943884984,4.82337471725594,10.8352292729344,0.001,AIW-N,36.9582725390021,0.002,1,1,interior,TRUE,0.804,TRUE,0.995380678970257,-0.693147180559945,250:52
250,52,200,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,122.315230556825,0.001,5,1,interior,TRUE,0.661000000000001,TRUE,0.491715797211086,-0.693147180559945,250:52
250,52,200,2,0.001,0.001,200000,2000,62;150,0.00106772209196494,8.22808247205437,11.5108941559221,0.001,AIW-N,181.177422378698,0.002,5,2,interior,TRUE,0.536000000000001,TRUE,0.0988405812615136,-0.693147180559945,250:52
250,52,200,3,0.001,0.001,200000,2000,62;150;199,0.0787941224722316,3.75934670631304,10.7514382399033,0.001,AIW-N,149.218948028571,0.002,2,2,interior,TRUE,0.586000000000002,TRUE,0.292902689331347,-0.693147180559945,250:52
250,52,500,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,1350.70282466713,0.004,3,1,interior,TRUE,0.498000000000001,TRUE,-0.993772248404005,-0.693147180559945,250:52
250,52,500,2,0.001,0.001,200000,2000,62;183,0.00050750840120761,8.22381594649949,11.5093384604367,0.001,AIW-N,507.788586175157,0.002,5,2,interior,TRUE,0.484999999999999,TRUE,-0.0154570935874192,-0.693147180559945,250:52
250,52,500,3,0.001,0.001,200000,2000,62;183;125,0.0189227243971831,4.72800995534856,10.8191250104773,0.001,AIW-N,485.321487073217,0.002,5,3,interior,TRUE,0.465,TRUE,0.0297965671345493,-0.693147180559945,250:52
250,52,1000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,2276.91801281458,0.002,5,1,interior,TRUE,0.533000000000001,TRUE,-0.8228227797643,-0.693147180559945,250:52
250,52,1000,2,0.001,0.001,200000,2000,62;224,0.00186078317779807,8.23411946255508,11.5130964319262,0.001,AIW-N,1477.00344872026,0.002,3,2,interior,TRUE,0.502000000000002,TRUE,-0.390015338495914,-0.693147180559945,250:52
250,52,1000,3,0.001,0.001,200000,2000,62;224;23,0.0147118190827185,4.58791858692649,10.8219983091618,0.001,AIW-N,861.035280492012,0.002,2,2,interior,TRUE,0.553999999999995,TRUE,0.149619799212708,-0.693147180559945,250:52
250,52,2000,1,0.001,0.001,200000,2000,62,0,14.142135623731,14.142135623731,0.001,AIW-N,1382.50682665366,0.001,5,1,interior,TRUE,0.475999999999999,TRUE,0.369248788252786,-0.693147180559945,250:52
250,52,2000,2,0.001,0.001,200000,2000,62;214,0.000841144075543802,8.21353785000575,11.5055932275168,0.001,AIW-N,1094.79994229339,0.001,5,2,interior,TRUE,0.509,TRUE,0.602575535085287,-0.693147180559945,250:52
