"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","eta0_hat","log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,4599,3,4,100040,"oracle_lambda",0.001,20000,1.4698933849962,0,"upper","interior",2699.03385094007,0,2,1,1,TRUE,0.331385510156426,0.185210764405294,TRUE,63,0.929999999999978,"77, 379"
0.001,4599,3,5,100041,"joint_lambda_eta0",0.001,797.147113418922,-1.75255492181972,0,"interior","interior",2636.31285639372,0,2,1,1,TRUE,0.379181572658144,0.305215489740529,TRUE,13,0.0439999999999827,"5, 318"
0.001,4599,3,5,100041,"oracle_lambda",0.001,797.147113418922,-1.75255492181972,0,"interior","interior",2636.31285639372,0,2,1,1,TRUE,0.379181572658144,0.305215489740529,TRUE,13,0.0439999999999827,"5, 318"
0.001,10000,3,1,100042,"joint_lambda_eta0",0.001,854.446823595898,-2.45988610237406,0,"interior","interior",2642.63888925343,0,2,1,1,TRUE,0.975751271300403,0.972057361228912,TRUE,63,0.233000000000004,"179, 393"
0.001,10000,3,1,100042,"oracle_lambda",0.001,854.446823595898,-2.45988610237406,0,"interior","interior",2642.63888925343,0,2,1,1,TRUE,0.975751271300403,0.972057361228912,TRUE,63,0.233000000000004,"179, 393"
0.001,10000,3,2,100043,"joint_lambda_eta0",0.001,20000,0.693147180559944,0,"upper","interior",2692.33712675361,0,2,1,1,TRUE,0.794286557786172,0.588573115572344,TRUE,28,0.382000000000005,"487, 494"
0.001,10000,3,2,100043,"oracle_lambda",0.001,20000,0.693147180559944,0,"upper","interior",2692.33712675361,0,2,1,1,TRUE,0.794286557786172,0.588573115572344,TRUE,28,0.382000000000005,"487, 494"
0.001,10000,3,3,100044,"joint_lambda_eta0",0.001,8862.33930788947,-0.120774332991074,0,"interior","interior",2680.68608714683,0,2,1,1,TRUE,0.46254050325997,0.406582875275063,TRUE,11,0.0800000000000125,"346, 431"
0.001,10000,3,3,100044,"oracle_lambda",0.001,8862.33930788947,-0.120774332991074,0,"interior","interior",2680.68608714683,0,2,1,1,TRUE,0.46254050325997,0.406582875275063,TRUE,11,0.0800000000000125,"346, 431"
0.001,10000,3,4,100045,"joint_lambda_eta0",0.001,2212.29065412617,-1.50855661917481,0,"interior","interior",2665.28777818679,0,2,1,1,TRUE,0.976213630733895,0.95242726146779,TRUE,73,0.478999999999985,"214, 324"
