"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,4599,"joint_lambda_2x_eta0",15,0.001,1,1429.23302753523,1111.24191748535,16382.8310231852,2858.46605507046,2222.48383497071,20000,-1.16870093255103,-0.475553751991081,0,0.8,0.666666666666667,0.133333333333333,0,0,0,1.93333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,0.933333333333333,0.866666666666667,0.548827314477298,1,63,0.419999999999959
0.001,4599,"joint_lambda_profiled_eta0",15,0.001,1,1429.23302753523,1111.24191748535,16382.8310231852,1429.23302753523,1111.24191748535,16382.8310231852,-1.16870093255103,-1.16870093255103,0,0.8,0.8,0.133333333333333,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,0.966666666666667,0.9,0.8,0.51884888874436,1,63,0.321000000000026
0.001,4599,"oracle_lambda_2x_eta0",15,0.001,1,1429.23302753523,1111.24191748535,16382.8310231852,2858.46605507046,2222.48383497071,20000,-1.16870093255103,-0.475553751991081,0,0.8,0.666666666666667,0.133333333333333,0,0,0,1.93333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,0.933333333333333,0.866666666666667,0.548827314477298,1,63,0.419999999999959
0.001,4599,"oracle_lambda_profiled_eta0",15,0.001,1,1429.23302753523,1111.24191748535,16382.8310231852,1429.23302753523,1111.24191748535,16382.8310231852,-1.16870093255103,-1.16870093255103,0,0.8,0.8,0.133333333333333,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,0.966666666666667,0.9,0.8,0.51884888874436,1,63,0.321000000000026
0.001,10000,"joint_lambda_2x_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,11405.3969728709,2110.29292015862,20000,-0.561645611507924,0.131501569052022,0,0.6,0.466666666666667,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.777675220971146,1,65,0.605999999999995
0.001,10000,"joint_lambda_profiled_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,5702.69848643543,1055.14646007931,20000,-0.561645611507924,-0.561645611507924,0,0.6,0.6,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.775694479570632,1,66,0.486999999999995
0.001,10000,"oracle_lambda_2x_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,11405.3969728709,2110.29292015862,20000,-0.561645611507924,0.131501569052022,0,0.6,0.466666666666667,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.777675220971146,1,65,0.605999999999995
0.001,10000,"oracle_lambda_profiled_eta0",15,0.001,1,5702.69848643543,1055.14646007931,20000,5702.69848643543,1055.14646007931,20000,-0.561645611507924,-0.561645611507924,0,0.6,0.6,0.4,0,0,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.775694479570632,1,66,0.486999999999995
0.01,20,"joint_lambda_2x_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,4.8485765130455,4,32.6830045804777,-2.11019429470967,-1.41704711414972,0,0.933333333333333,0.6,0.2,1,0,0,1,0.4,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,117,0.625999999999976
0.01,20,"joint_lambda_profiled_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,2.42428825652275,2,16.3415022902389,-2.11019429470967,-2.11019429470967,0,0.933333333333333,0.933333333333333,0.2,1,0,0,1,0.333333333333333,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,115,0.477000000000032
0.01,20,"oracle_lambda_2x_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,4.8485765130455,4,32.6830045804777,-2.11019429470967,-1.41704711414972,0,0.933333333333333,0.6,0.2,1,0,0,1,0.4,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,117,0.625999999999976
0.01,20,"oracle_lambda_profiled_eta0",15,0.01,1,2.42428825652275,2,16.3415022902389,2.42428825652275,2,16.3415022902389,-2.11019429470967,-2.11019429470967,0,0.933333333333333,0.933333333333333,0.2,1,0,0,1,0.333333333333333,1,0.933333333333333,0.466666666666667,0,0.384384865846769,1,115,0.477000000000032
0.01,43,"joint_lambda_2x_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,46.6068189169172,33.5864143025735,64.3949218073384,-0.612600437137695,0.0805467434222504,0,1,0.266666666666667,0,1,0,0,1.06666666666667,1.06666666666667,0.933333333333333,1,0.533333333333333,0.0666666666666667,0.368689060074278,1,60,0.397999999999911
0.01,43,"joint_lambda_profiled_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,23.3034094584586,16.7932071512868,32.1974609036692,-0.612600437137695,-0.612600437137695,0,1,1,0,1,0,0,1,0.733333333333333,1,1,0.5,0,0.363961738268854,1,67,0.322000000000003
0.01,43,"oracle_lambda_2x_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,46.6068189169172,33.5864143025735,64.3949218073384,-0.612600437137695,0.0805467434222504,0,1,0.266666666666667,0,1,0,0,1.06666666666667,1.06666666666667,0.933333333333333,1,0.533333333333333,0.0666666666666667,0.368689060074278,1,60,0.397999999999911
0.01,43,"oracle_lambda_profiled_eta0",15,0.01,1,23.3034094584586,16.7932071512868,32.1974609036692,23.3034094584586,16.7932071512868,32.1974609036692,-0.612600437137695,-0.612600437137695,0,1,1,0,1,0,0,1,0.733333333333333,1,1,0.5,0,0.363961738268854,1,67,0.322000000000003
