"true_lambda","true_eta0","r0_seed","replicate","seed","fit_type","selected_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lambda_boundary","lower_bound","elbo_gain_over_matching_oracle","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.01,95,3,5,100016,"joint_lambda_profiled_eta0",0.01,47.0897811292237,47.0897811292237,1,-0.701820875280626,-0.701820875280626,0,"interior","upper",2141.50830382855,0,1,1,0.5,FALSE,0.427284133175765,0.0178539674727521,TRUE,60,0.24799999999999,"71, 260"
0.01,95,3,5,100016,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28295.7220233079,NA,2,1,1,TRUE,0.852608534937167,0.705782127902727,TRUE,5,0.021000000000015,"71, 260"
0.01,95,3,5,100016,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28296.0332882042,NA,3,0.666666666666667,1,TRUE,0.601642081775385,0.208428913281667,TRUE,15,0.0389999999999873,"71, 260"
0.01,206,3,1,100017,"joint_lambda_calibrated_eta0",0.01,199.201339460047,306.172458750092,1.537,-0.033560099464669,0.39627236509179,0,"interior","upper",2269.27039947177,0,2,1,1,TRUE,0.829728557335008,0.659457142015999,TRUE,76,0.495999999999981,"72, 351"
0.01,206,3,1,100017,"joint_lambda_profiled_eta0",0.01,199.201339460047,199.201339460047,1,-0.033560099464669,-0.033560099464669,0,"interior","upper",2271.32812084304,0,2,1,1,TRUE,0.812684415366319,0.625369300716232,TRUE,101,0.408999999999992,"72, 351"
0.01,206,3,1,100017,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28282.8019031212,NA,2,1,1,TRUE,0.849095678392078,0.698191356785052,TRUE,4,0.0169999999999959,"72, 351"
0.01,206,3,1,100017,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28274.35671022,NA,2,1,1,TRUE,0.893145874738447,0.786291749477425,TRUE,5,0.0159999999999627,"72, 351"
0.01,206,3,2,100018,"joint_lambda_calibrated_eta0",0.01,109.309217386852,168.008267123591,1.537,-0.633695446084513,-0.203862981528054,0,"interior","upper",2241.99035886477,0,1,1,0.5,FALSE,0.541303410823555,0.0883339476715388,TRUE,22,0.103000000000009,"45, 145"
0.01,206,3,2,100018,"joint_lambda_profiled_eta0",0.01,109.309217386852,109.309217386852,1,-0.633695446084513,-0.633695446084513,0,"interior","upper",2243.45369094548,0,1,1,0.5,FALSE,0.500107207314243,0.0166814320528668,TRUE,20,0.0769999999999982,"45, 145"
0.01,206,3,2,100018,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28297.4086063688,NA,2,1,1,TRUE,0.961443949616122,0.923009831050238,TRUE,5,0.0219999999999914,"45, 145"
0.01,206,3,2,100018,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28293.9304379339,NA,2,1,1,TRUE,0.980582579235982,0.961204590851293,TRUE,18,0.0470000000000255,"45, 145"
0.01,206,3,3,100019,"joint_lambda_calibrated_eta0",0.01,231.108442555016,355.213676207059,1.537,0.115010879865948,0.544843344422406,0,"interior","upper",2315.81488912124,0,1,1,0.5,FALSE,0.308309841737915,0.0189717035049721,TRUE,11,0.0780000000000314,"96, 161"
0.01,206,3,3,100019,"joint_lambda_profiled_eta0",0.01,231.108442555016,231.108442555016,1,0.115010879865948,0.115010879865948,0,"interior","upper",2317.38448666573,0,1,1,0.5,FALSE,0.297558562636585,0.0114177400027859,TRUE,17,0.0649999999999977,"96, 161"
0.01,206,3,3,100019,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28276.5608821361,NA,2,1,1,TRUE,0.75943267957783,0.643566203161627,TRUE,4,0.0180000000000291,"96, 161"
0.01,206,3,3,100019,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28283.3195611346,NA,1,1,0.5,FALSE,0.342248095333088,0.0359387186682092,TRUE,38,0.111999999999966,"96, 161"
0.01,206,3,4,100020,"joint_lambda_calibrated_eta0",0.01,122.733984089212,188.642133545119,1.537,-0.517856886479296,-0.0880244219228379,0,"interior","upper",2264.68688920855,0,1,1,0.5,FALSE,0.625458200567986,0.250916412060895,TRUE,82,0.168999999999983,"62, 367"
0.01,206,3,4,100020,"joint_lambda_profiled_eta0",0.01,122.733984089212,122.733984089212,1,-0.517856886479296,-0.517856886479296,0,"interior","upper",2265.91072172555,0,1,1,0.5,FALSE,0.509221207608145,0.0184425526643885,TRUE,19,0.0749999999999886,"62, 367"
0.01,206,3,4,100020,"susie_rss_in_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28294.4186460549,NA,2,1,1,TRUE,0.99974228423236,0.99948456846472,TRUE,6,0.021000000000015,"62, 367"
0.01,206,3,4,100020,"susie_rss_out_of_sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28295.9019949463,NA,3,0.666666666666667,1,TRUE,0.997120482678072,0.994240965373512,TRUE,10,0.0289999999999964,"62, 367"
