"estimated_eta0","eta0_used","selected_lambda","reported_L","true_sets","false_sets","causal_power","all_causal_covered","fallback","converged","true_eta0","replication","method","causal_LD","expected_z_stronger","expected_z_weaker"
1.63214357062379,1.63214357062379,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,2,"Null posterior-mean R",0.000267696093581573,11.5086725041947,8.22198904798958
13.3377442658662,22.3673971338576,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,2,"collapsed-R",0.000267696093581573,11.5086725041947,8.22198904798958
18.4908584098854,26.3309823756768,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,2,"AIW-N",0.000267696093581573,11.5086725041947,8.22198904798958
1.33421291976083,1.33421291976083,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,3,"Null posterior-mean R",-0.00207280154053968,11.5021728106197,8.20414282884581
11.7876686597798,19.7679203424508,0.004,1,0,1,0,FALSE,TRUE,TRUE,50,3,"collapsed-R",-0.00207280154053968,11.5021728106197,8.20414282884581
17.8687712607394,25.445130275293,0.004,1,0,1,0,FALSE,TRUE,TRUE,50,3,"AIW-N",-0.00207280154053968,11.5021728106197,8.20414282884581
1.85450841168496,1.85450841168496,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,4,"Null posterior-mean R",-0.00152328106105937,11.5036988848141,8.20833555257391
18.1004249386782,30.3544126221634,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,4,"collapsed-R",-0.00152328106105937,11.5036988848141,8.20833555257391
26.0948353915079,37.1590455975073,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,4,"AIW-N",-0.00152328106105937,11.5036988848141,8.20833555257391
2.17393632015922,2.17393632015922,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,5,"Null posterior-mean R",-0.00570204319019926,11.4920936801209,8.17641153680772
29.0302030799717,48.6836505651125,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,50,5,"collapsed-R",-0.00570204319019926,11.4920936801209,8.17641153680772
57.7054986811518,82.1726301219602,0.004,2,2,0,1,TRUE,FALSE,TRUE,50,5,"AIW-N",-0.00570204319019926,11.4920936801209,8.17641153680772
1.4740448961094,1.4740448961094,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,6,"Null posterior-mean R",0.00260778369305613,11.5151707688664,8.23980274999734
13.9173914635658,23.3394654843998,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,6,"collapsed-R",0.00260778369305613,11.5151707688664,8.23980274999734
40.8522303036591,58.1735759524105,0.002,2,2,0,1,TRUE,FALSE,TRUE,50,6,"AIW-N",0.00260778369305613,11.5151707688664,8.23980274999734
1.55371479403775,1.55371479403775,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,7,"Null posterior-mean R",-0.000448131042715373,11.506684641774,8.21653401579183
17.6894390458397,29.6651892798732,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,50,7,"collapsed-R",-0.000448131042715373,11.506684641774,8.21653401579183
25.3818794247114,36.143796300789,0.004,1,1,0,0.5,FALSE,TRUE,TRUE,50,7,"AIW-N",-0.000448131042715373,11.506684641774,8.21653401579183
1.81677619397009,1.81677619397009,0.01,0,0,0,0,FALSE,FALSE,TRUE,50,8,"Null posterior-mean R",0.000733347624672855,11.509965610764,8.22553611550646
19.2859882038252,32.3426022178148,0.002,1,1,0,0.5,FALSE,TRUE,TRUE,50,8,"collapsed-R",0.000733347624672855,11.509965610764,8.22553611550646
