"true_lambda","true_eta0","r0_seed","replicate","seed","profile_type","candidate_lambda","raw_eta0_hat","eta0_used","eta0_multiplier","raw_log_eta0_error","used_log_eta0_error","log_lambda_error","eta0_boundary","lower_bound","elbo_below_best","selected_L","coverage","power","all_causal_covered","mean_causal_pip","minimum_causal_pip","converged","iterations","fit_seconds","causal"
0.001,206,5,4,100110,"profiled_eta0",1e-04,2,2,1,-4.63472898822964,-4.63472898822964,-2.30258509299405,"lower",2043.30008909507,-251.515311492194,0,0,0,FALSE,0.0319837833085174,0.031747967264972,TRUE,124,0.613000000000056,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.001,34.2690389547489,34.2690389547489,1,-1.79363387663597,-1.79363387663597,0,"interior",2256.52251089173,-38.2928896955286,1,1,0.5,FALSE,0.504077903161052,0.0088578353204416,TRUE,69,0.342000000000098,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.002,53.2305529331714,53.2305529331714,1,-1.35324363403588,-1.35324363403588,0.693147180559945,"interior",2284.41483524471,-10.4005653425484,1,1,0.5,FALSE,0.504913067201896,0.00987121214091391,TRUE,46,0.215999999999894,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.004,88.2019951789168,88.2019951789168,1,-0.848246584956534,-0.848246584956534,1.38629436111989,"interior",2294.81540058726,0,1,1,0.5,FALSE,0.520928469958999,0.0418578278335043,TRUE,55,0.242000000000189,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.006,143.211783411964,143.211783411964,1,-0.363551631251977,-0.363551631251977,1.79175946922805,"interior",2294.57692053074,-0.238480056527351,2,1,1,TRUE,0.812427926831631,0.624857539541366,TRUE,82,0.383000000000038,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.008,178.159421604439,178.159421604439,1,-0.145197392340807,-0.145197392340807,2.07944154167984,"interior",2290.29246605307,-4.52293453418861,2,1,1,TRUE,0.851152579511662,0.702305732914712,TRUE,39,0.186000000000149,"201, 442"
0.001,206,5,4,100110,"profiled_eta0",0.01,213.997848224765,213.997848224765,1,0.0380897911572573,0.0380897911572573,2.30258509299405,"interior",2284.95994985925,-9.85545072801051,2,1,1,TRUE,0.880785780824223,0.761571791741066,TRUE,20,0.0709999999999127,"201, 442"
0.001,206,5,5,100111,"calibrated_eta0",1e-05,2,3.074,1.537,-4.63472898822964,-4.20489652367318,-4.60517018598809,"lower",1988.60170027265,-450.435456076924,0,0,0,FALSE,0.0132319824142981,0.0123820155913233,TRUE,27,1.0619999999999,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",1e-04,21.8189806818254,33.5357733079656,1.537,-2.2450959043326,-1.81526343977614,-2.30258509299405,"interior",2317.10275914155,-121.93439720802,1,1,0.5,FALSE,0.088760662371675,0.00840345663712416,TRUE,70,0.461999999999989,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",0.001,84.4168450505083,129.748690842631,1.537,-0.89210920119579,-0.462276736639332,0,"interior",2433.51706762146,-5.5200887281103,2,1,1,TRUE,0.442751148692,0.17889164770494,TRUE,80,0.353999999999814,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",0.002,186.988777665299,287.401751271565,1.537,-0.0968275662208464,0.333004898335612,0.693147180559945,"interior",2439.03715634957,0,2,1,1,TRUE,0.526229599663695,0.204673738263567,TRUE,76,0.478999999999814,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",0.004,320.972132031739,493.334166932783,1.537,0.443478134471198,0.873310599027657,1.38629436111989,"interior",2435.45673189839,-3.58042445118735,2,1,1,TRUE,0.559053239451592,0.220760478519823,TRUE,76,0.447999999999865,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",0.006,480.154741324902,737.997837416374,1.537,0.846232260920022,1.27606472547648,1.79175946922805,"interior",2427.96638292816,-11.0707734214079,2,1,1,TRUE,0.575128672873632,0.230715759646854,TRUE,74,0.445999999999913,"122, 211"
0.001,206,5,5,100111,"calibrated_eta0",0.008,690.29811016749,1060.98819532743,1.537,1.20924737921871,1.63907984377517,2.07944154167984,"interior",2420.06975540511,-18.9674009444675,2,1,1,TRUE,0.5853085652638,0.237883965148494,TRUE,70,0.427999999999884,"122, 211"
