"coverage","power","mean_reported_L","false_sets","fallback_frequency","mean_causal_pip","convergence_frequency","median_seconds","median_raw_eta0","median_eta0_used","median_lambda","ld_rmse","ld_correlation","coverage_lower","coverage_upper","power_lower","power_upper","mean_reported_L_lower","mean_reported_L_upper","false_sets_lower","false_sets_upper","fallback_frequency_lower","fallback_frequency_upper","mean_causal_pip_lower","mean_causal_pip_upper","ld_rmse_lower","ld_rmse_upper","T_generations","N0","method","panels"
1,0.9375,1.875,0,0.125,0.732173738097539,1,0.8945,239.224524623375,401.179527793399,0.00055,0.029842608288412,0.983826307127202,1,1,0.8125,1,1.625,2,0,0,0,0.375,0.62888430274821,0.83133204120267,0.0292859455579858,0.0303318876602964,1,2000,"collapsed-R",8
1,1,2,0,0,0.830243283125567,1,1.0075,267.420260167229,380.806450478134,0.00055,0.029842608288412,0.983826307127202,1,1,1,1,2,2,0,0,0,0,0.720672981764491,0.929850778221392,0.0292827925738328,0.0303561273790005,1,2000,"AIW-N",8
1,1,2,0,0,0.801207857501931,1,0.199,NA,NA,NA,0.0367479148972844,0.9744467030005,1,1,1,1,2,2,0,0,0,0,0.646572092895058,0.925953764177632,0.0354841112160743,0.0379970119525406,50,2000,"SuSiE-RSS: in-sample R",8
1,1,2,0,0,0.823824004632097,1,0.0130000000000004,NA,NA,NA,0.0367479148972844,0.9744467030005,1,1,1,1,2,2,0,0,0,0,0.670709321575319,0.943492951695472,0.0354815637741337,0.0380572009714032,50,2000,"SuSiE-RSS: reference R0",8
1,1,2,0,0,0.76877359597884,1,0.971,261.758525707323,438.96904761118,0.001,0.0367479148972844,0.9744467030005,1,1,1,1,2,2,0,0,0,0,0.632382541508167,0.889457248861892,0.0355225884254332,0.0380116762097332,50,2000,"collapsed-R",8
1,1,2,0,0,0.823709835991558,1,0.979,311.294268071008,443.283037733114,0.001,0.0367479148972844,0.9744467030005,1,1,1,1,2,2,0,0,0,0,0.681280014522487,0.94702093874669,0.0355086535302717,0.0380107045152217,50,2000,"AIW-N",8
1,1,2,0,0,0.754601350829556,1,0.1975,NA,NA,NA,0.0482899846767523,0.952290099556656,1,1,1,1,2,2,0,0,0,0,0.648415566906105,0.868274201398103,0.0467873908120966,0.0497549973487394,200,2000,"SuSiE-RSS: in-sample R",8
1,1,2,0,0,0.735936770065144,1,0.0155000000000012,NA,NA,NA,0.0482899846767523,0.952290099556656,1,1,1,1,2,2,0,0,0,0,0.620076251731469,0.856380427072402,0.046648587843932,0.0497790243774749,200,2000,"SuSiE-RSS: reference R0",8
1,1,2,0,0,0.720059932681035,1,0.6795,113.590371436724,190.491052899386,0.001,0.0482899846767523,0.952290099556656,1,1,1,1,2,2,0,0,0,0,0.592570317783587,0.843757136024109,0.0467230200668768,0.0498054311177416,200,2000,"collapsed-R",8
1,1,2,0,0,0.740508321998898,1,1.084,165.403282916695,235.534274873373,0.001,0.0482899846767523,0.952290099556656,1,1,1,1,2,2,0,0,0,0,0.626487374339579,0.858084845660322,0.0466482404251887,0.0497327199235822,200,2000,"AIW-N",8
1,1,2,0,0,0.584044930499397,1,0.2085,NA,NA,NA,0.0716488582729786,0.868726912139023,1,1,1,1,2,2,0,0,0,0,0.435564658791084,0.741972842953662,0.0703720454884018,0.0734148191356995,1000,2000,"SuSiE-RSS: in-sample R",8
0.842105263157895,1,2.375,0.375,0,0.592138309233707,1,0.0145000000000008,NA,NA,NA,0.0716488582729786,0.868726912139023,0.727272727272727,0.941176470588235,1,1,2.125,2.75,0.125,0.75,0,0,0.429203816606353,0.754206452004956,0.0703264959562522,0.0733879527804734,1000,2000,"SuSiE-RSS: reference R0",8
1,0.625,1.25,0,0.75,0.364411268204476,1,0.615499999999999,33.8161454192946,56.7096758681571,0.0015,0.0716488582729786,0.868726912139023,1,1,0.5,0.8125,1,1.625,0,0,0.375,1,0.221923377574288,0.518726046599422,0.0703831582282383,0.073412512259323,1000,2000,"collapsed-R",8
1,0.875,1.75,0,0.25,0.512083961775744,1,1.0275,63.6897715993258,90.6942347574399,0.003,0.0716488582729786,0.868726912139023,1,1,0.6875,1,1.375,2,0,0,0,0.625,0.339208485767522,0.69637395182906,0.0703405973684725,0.073458142301939,1000,2000,"AIW-N",8
1,1,2,0,0,0.956884071839907,1,0.2025,NA,NA,NA,0.0897613274279571,0.698025339468187,1,1,1,1,2,2,0,0,0,0,0.879763719956045,0.997750862724562,0.0880900345509666,0.091575156387171,5000,2000,"SuSiE-RSS: in-sample R",8
0.555555555555556,0.9375,3.375,1.5,0,0.934127232661616,1,0.0285000000000002,NA,NA,NA,0.0897613274279571,0.698025339468187,0.454545454545455,0.714285714285714,0.8125,1,2.5,4.25,0.75,2.25,0,0,0.809305321105181,0.998956156451276,0.0880892853907738,0.0916193033831907,5000,2000,"SuSiE-RSS: reference R0",8
1,0.5,1,0,1,0.496371258408153,1,0.467,21.9036907914386,36.7324894572426,0.01,0.0897613274279571,0.698025339468187,1,1,0.5,0.5,1,1,0,0,1,1,0.491497225416069,0.499930120953533,0.0881311099218715,0.091610920370543,5000,2000,"collapsed-R",8
1,0.5,1,0,1,0.496371258408153,1,1.159,26.2973283083687,37.447395511117,0.01,0.0897613274279571,0.698025339468187,1,1,0.5,0.5,1,1,0,0,1,1,0.491567104449266,0.499930120946558,0.0881309855480905,0.0914712327749143,5000,2000,"AIW-N",8
