"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_raw_eta0_hat","raw_eta0_q10","raw_eta0_q90","median_eta0_used","eta0_used_q10","eta0_used_q90","median_raw_log_eta0_error","median_used_log_eta0_error","median_log_lambda_error","raw_eta0_underestimate_frequency","used_eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_matching_oracle","median_elbo_gain_over_matching_oracle","mean_selected_L","mean_raw_selected_L","fallback_frequency","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.001,95,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.734394772603973,1,5,0.0210000000000008
0.001,95,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26666666666667,3.26666666666667,0,0.548888888888889,0.833333333333333,0.733333333333333,0.653569987757549,1,13,0.0339999999999918
0.001,206,"joint_lambda_calibrated_eta0",15,0.002,0.4,138.797957843848,87.7033852137552,292.440771682925,213.332461205994,134.800103073542,449.481466076656,-0.394856833765692,0.0349756307907665,0.693147180559945,0.733333333333333,0.466666666666667,0,0,12.3644062461984,2.37207388102615,1.6,1.6,0.4,0.966666666666667,0.766666666666667,0.533333333333333,0.508779768168945,1,21,0.289000000000001
0.001,206,"joint_lambda_profiled_eta0",15,0.002,0.4,138.797957843848,87.7033852137552,292.440771682925,138.797957843848,87.7033852137552,292.440771682925,-0.394856833765692,-0.394856833765692,0.693147180559945,0.733333333333333,0.733333333333333,0,0,12.9263573121532,2.02640778487148,1.53333333333333,1.53333333333333,0.466666666666667,0.966666666666667,0.733333333333333,0.466666666666667,0.482117301205961,1,62,0.248000000000047
0.001,206,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93333333333333,1.93333333333333,0,0.933333333333333,0.9,0.8,0.670372430007879,1,5,0.0209999999999582
0.001,206,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46666666666667,2.46666666666667,0,0.765555555555556,0.833333333333333,0.666666666666667,0.588447064919001,1,12,0.0319999999999965
0.001,447,"joint_lambda_calibrated_eta0",15,0.002,0.266666666666667,352.305849519864,220.282577721922,613.844230068513,541.494090712031,338.574321958594,943.478581615305,-0.238058905601028,0.19177355895543,0.693147180559945,0.733333333333333,0.333333333333333,0,0,6.27961208387111,5.68181787985759,1.93333333333333,1.93333333333333,0.0666666666666667,1,0.966666666666667,0.933333333333333,0.759954930979428,1,57,0.368999999999915
0.001,447,"joint_lambda_profiled_eta0",15,0.002,0.266666666666667,352.305849519864,220.282577721922,613.844230068513,352.305849519864,220.282577721922,613.844230068513,-0.238058905601028,-0.238058905601028,0.693147180559945,0.733333333333333,0.733333333333333,0,0,6.1920102543173,5.38339233008492,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.720119118975223,1,72,0.311999999999998
0.001,447,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.795652114225148,1,5,0.0180000000000291
0.001,447,"susie_rss_out_of_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,1,0.815750449065294,1,8,0.0230000000000246
0.001,972,"joint_lambda_calibrated_eta0",15,0.001,0.533333333333333,864.865473131735,444.22028995723,1795.7462445888,1329.29823220348,682.766585664262,2760.06197793299,-0.116781832014479,0.313050632541979,0,0.533333333333333,0.333333333333333,0.0666666666666667,0,1.87538758016229,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.694772267574024,1,54,0.349000000000018
0.001,972,"joint_lambda_profiled_eta0",15,0.001,0.6,761.246747592888,444.22028995723,1795.7462445888,761.246747592888,444.22028995723,1795.7462445888,-0.244398257901436,-0.244398257901436,0,0.6,0.6,0.0666666666666667,0,1.5440579512125,0,1.86666666666667,1.86666666666667,0.133333333333333,1,0.933333333333333,0.866666666666667,0.687881253436011,1,66,0.269000000000005
0.001,972,"susie_rss_in_sample",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86666666666667,1.86666666666667,0,1,0.933333333333333,0.866666666666667,0.724269489727788,1,5,0.0199999999999818
