"true_lambda","true_eta0","fit_type","fits","median_lambda_hat","lambda_exact_frequency","median_eta0_hat","eta0_q10","eta0_q90","median_log_eta0_error","median_log_lambda_error","eta0_underestimate_frequency","eta0_boundary_frequency","lambda_boundary_frequency","mean_elbo_gain_over_oracle","median_elbo_gain_over_oracle","mean_selected_L","mean_coverage","mean_power","all_causal_covered_frequency","mean_causal_pip","convergence_frequency","median_iterations","median_fit_seconds"
0.01,95,"oracle_lambda",15,0.01,1,55.151153152313,38.6696308278141,94.2428960060069,-0.543799236739518,0,0.866666666666667,0,0,0,0,1.13333333333333,1,0.566666666666667,0.133333333333333,0.388260357878967,1,40,0.142999999999972
0.01,206,"joint_lambda_eta0",15,0.01,0.533333333333333,189.634945331689,121.731683194534,313.734710151383,-0.08277528513067,0,0.6,0,0,0.916640285629243,0,1.53333333333333,1,0.766666666666667,0.533333333333333,0.545897024766228,1,23,0.0769999999993161
0.01,206,"oracle_lambda",15,0.01,1,151.981440724051,102.916715894663,219.675568946695,-0.304117755897843,0,0.866666666666667,0,0,0,0,1.46666666666667,1,0.733333333333333,0.466666666666667,0.514776503711101,1,41,0.177000000000135
0.01,447,"joint_lambda_eta0",15,0.01,0.6,376.272861129767,279.476099665935,791.571251000761,-0.17224401991854,0,0.666666666666667,0.0666666666666667,0,0.746214069714915,0,1.93333333333333,1,0.966666666666667,0.933333333333333,0.825002608116548,1,60,0.299000000000035
0.01,447,"oracle_lambda",15,0.01,1,355.528500423158,270.249801330485,467.943056678528,-0.228953178617024,0,0.866666666666667,0,0,0,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.811627321898089,1,77,0.299000000000035
0.01,972,"joint_lambda_eta0",15,0.01,0.533333333333333,882.973210353334,739.505442871362,15521.5417008483,-0.0960609436674238,0,0.533333333333333,0.133333333333333,0,0.409828739951869,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.741523291385301,1,67,0.274999999999977
0.01,972,"oracle_lambda",15,0.01,1,882.973210353334,668.723358058844,1358.56046174606,-0.0960609436674238,0,0.533333333333333,0,0,0,0,1.86666666666667,1,0.933333333333333,0.866666666666667,0.744841413625294,1,69,0.283000000000015
0.01,2115,"joint_lambda_eta0",15,0.01,0.866666666666667,2882.79806684334,1042.10198395324,15463.0414133587,0.309706560986687,0,0.333333333333333,0.133333333333333,0,0.0308930343579656,0,1.8,0.966666666666667,0.866666666666667,0.733333333333333,0.809544893669614,1,73,0.532000000000153
0.01,2115,"oracle_lambda",15,0.01,1,2389.24236873568,1122.67360630923,8101.45215198965,0.121921502660886,0,0.4,0.0666666666666667,0,0,0,1.8,0.966666666666667,0.866666666666667,0.733333333333333,0.810716295500253,1,73,0.45799999999997
0.01,4599,"joint_lambda_eta0",15,0.01,0.8,3033.86774817836,1681.68396902617,20000,-0.416000598502951,0,0.533333333333333,0.266666666666667,0,0.12564695540832,0,1.93333333333333,0.966666666666667,0.933333333333333,0.866666666666667,0.614531778049123,1,52,0.546000000000049
0.01,4599,"oracle_lambda",15,0.01,1,2529.48997335046,1638.86654465357,17630.2367529727,-0.59782119770175,0,0.666666666666667,0.133333333333333,0,0,0,1.93333333333333,0.966666666666667,0.933333333333333,0.866666666666667,0.614390638229587,1,52,0.465999999999894
0.01,10000,"joint_lambda_eta0",15,0.01,0.666666666666667,5968.64387683594,1332.62900829775,20000,-0.516065347702325,0,0.6,0.4,0,0.437287099654714,0,1.8,1,0.9,0.8,0.841953946153557,1,63,0.500999999999976
0.01,10000,"oracle_lambda",15,0.01,1,8679.66883163659,1118.31854600349,20000,-0.141601718086893,0,0.533333333333333,0.466666666666667,0,0,0,1.8,1,0.9,0.8,0.844173435997474,1,63,0.500999999999976
